"user_id,""gym_id"",""checkin_time"",""checkout_time"",""workout_type"",""calories_burned"",""first_name"",""last_name"",""age"",""gender"",""birthdate"",""user_location"",""subscription_plan"""
"user_3291,gym_6,""2023-09-10 15:55:00"",""2023-09-10 16:34:00"",Weightlifting,462,Michael,Rodriguez,41,Female,""1998-03-10"",Atlanta,Pro"
"user_1944,gym_2,""2023-04-13 20:07:00"",""2023-04-13 22:43:00"",Yoga,1278,Michael,Garcia,24,Female,""1985-11-28"",Las Vegas,Pro"
"user_958,gym_7,""2023-06-10 12:24:00"",""2023-06-10 13:49:00"",Cardio,858,Emily,Rodriguez,37,Male,""1986-03-12"",Boston,Basic"
"user_811,gym_2,""2023-05-23 17:11:00"",""2023-05-23 20:01:00"",Yoga,1134,David,Miller,34,Female,""1984-03-14"",Las Vegas,Student"
"user_4923,gym_10,""2023-02-21 06:20:00"",""2023-02-21 08:02:00"",Weightlifting,1049,Michael,Johnson,32,Female,""1999-03-04"",Austin,Pro"
"user_1534,gym_5,""2023-02-05 19:33:00"",""2023-02-05 22:18:00"",CrossFit,1482,Laura,Martinez,56,Female,""2001-08-01"",Detroit,Basic"
"user_4431,gym_8,""2023-06-10 13:08:00"",""2023-06-10 14:07:00"",Cardio,1618,John,Johnson,24,Male,""1992-02-15"",Miami,Pro"
"user_410,gym_1,""2023-03-26 14:04:00"",""2023-03-26 16:03:00"",Yoga,751,Chris,Wilson,50,Female,""1967-12-22"",Austin,Pro"
"user_54,gym_10,""2023-04-06 06:17:00"",""2023-04-06 09:10:00"",Swimming,706,Jessica,Garcia,61,Non-binary,""1961-08-13"",Austin,Student"
"user_4797,gym_7,""2023-02-15 19:37:00"",""2023-02-15 21:02:00"",Weightlifting,713,Chris,Garcia,62,Male,""1975-11-05"",Austin,Basic"
"user_1099,gym_3,""2023-09-15 17:45:00"",""2023-09-15 18:45:00"",Swimming,556,Jane,Williams,64,Female,""1980-11-26"",Detroit,Pro"
